K,Q,Unnamed: 2
Загальновживана назва,Яка загальноприйнята назва Польща,
Загальновживана назва,Яка поширена назва Польща,
Загальновживана назва,Яка загальнопоширена назва Польща,
Офіційна назва,Яка довга назва Польща,
Офіційна назва,Яка повна назва Польща,
Назва державною мовою,Як Польща називається офіційною мовою,
Назва державною мовою,Яка нативна назва Польща,
Національний гімн,Який національний гімн Польща,
Національний гімн,Який гімн Польща,
Національний гімн,Гімн Польща,
Національний гімн,Як називається гімн Польща,
Офіційна назва,Повна назва Польща,
Офіційні мови,Офіційні мови у Польща,
Офіційні мови,Які офіційні мови Польща,
Офіційні мови,Яка державна мова Польща,
Офіційні мови,Яка основна мова у Польща,
Офіційні мови,Які мови основні у Польща,
Офіційні мови,Які мови у Польща державні,
Офіційні мови,Яка мова у Польща офіційна,
Столиця,Яка столиця Польща,
Столиця,Яка у Польща столиця,
Столиця,Яке місто у Польща столичне,
Столиця,Столиця Польща,
Координати,Де знаходиться Польща,
Координати,Які координати Польща,
Координати,Де Польща,
Найбільше місто,Яке найбільше місто Польща,
Найбільше місто,Яке у Польща найбільше місто,
Найбільше місто,Яке головне місто Польща,
Найбільше місто,Яке основне місто країни Польща,
Демонім,Який демонім Польща,
Демонім,Як називаються мешканці Польща,
Демонім,Як називають жителів Польща,
Демонім,Як називають народ Польща,
Демонім,Як називається народ Польща,
Форма правління,Який тип уряду Польща,
Форма правління,Яка форма уряду Польща,
Форма правління,Яка у Польща форма уряду,
Форма правління,Який тип республіки у Польща,
Форма правління,Яка форма правління у Польща,
Форма правління,Який тип правління Польща,
Посади лідерів,Як називаються лідера Польща,
Посади лідерів,Як називається голова держави у Польща,
Посади лідерів,Який тип лідера у Польща,
Посади лідерів,Яка головна людина у Польща,
Посади лідерів,Який головний лідер у Польща,
Посади лідерів,Який голова держави у Польща,
Імена лідерів,Хто голова держави у Польща,
Імена лідерів,Хто президент Польща,
Імена лідерів,Хто головний у Польща,
Імена лідерів,Хто лідер Польща,
Імена лідерів,Хто лідер держави у Польща,
Імена лідерів,Як звати лідера Польща,
Імена лідерів,Яке ім'я президента Польща,
Імена лідерів,Яке ім'я голови держави у Польща,
Імена лідерів,Які імена лідерів країни Польща,
Місце за площею,Яка за порядком Польща за площею,
Місце за площею,На якому місці Польща за площею у світі,
Місце за площею,Яка у світі Польща за площею,
Площа,Яка площа Польща,
Площа,Площа Польща,
Площа,Який розмір Польща,
Площа,Скільки квадратних кілометрів у Польща,
Площа,Яка площа території Польща,
Площа,Який розмір території Польща,
"Відсоток, покритий водою",Який відсоток води на території Польща,
"Відсоток, покритий водою",Який відсоток площі Польща становить вода,
"Відсоток, покритий водою",Скільки води у Польща,
"Відсоток, покритий водою",Яка площа води у Польща,
Населення,Яке населення Польща,
Населення,Яке оціночне населення Польща,
Населення,Населення Польща,
Населення,Скільки людей живе у Польща,
Населення,Скільки мешканців у Польща,
Населення,Скільки жителів Польща,
Населення,Скільки живе у Польща,
Населення,Скільки людей мешкає у Польща,
Місце за населенням,Яка Польща за населенням у світі,
Місце за населенням,Яка за порядком Польща за населенням,
Місце за населенням,На якому місці Польща за населенням,
Рік останнього перепису населення,Коли відбувся перепис у Польща,
Рік останнього перепису населення,Яка дата останнього перепису у Польща,
Густота населення,Яка густота населення Польща,
Густота населення,Яка густина населення Польща,
Густота населення,Наскільки густонаселена Польща,
Густота населення,Скільки людей на квадратний кілометр у Польща,
Густота населення,Густота населення Польща,
Місце за густотою населення,Яка Польща за густотою населення у світі,
Місце за густотою населення,На якому місці Польща за густотою населення,
Місце за густотою населення,Яка за порядком Польща за густотою населення,
ВВП (ПКС),Який ВВП Польща,
ВВП (ПКС),Який внутрішній валовий продукт Польща,
ВВП (ПКС),Який у Польща ВВП,
ВВП (ПКС),Який розмір економіки Польща,
ВВП (ПКС),Яка економіка у Польща,
ВВП (ПКС),Скільки доларів становить ВВП Польща,
ВВП (ПКС),Скільки доларів економіка Польща,
ВВП (ПКС),Який повний ВВП Польща,
Місце за ВВП (ПКС),Яка Польща за розміром ВВП,
Місце за ВВП (ПКС),Яка за порядком у світі Польща по ВВП,
Місце за ВВП (ПКС),На якому місці Польща за ВВП,
ВВП (ПКС) на душу населення,Який ВВП на душу населення у Польща,
ВВП (ПКС) на душу населення,Який ВВП Польща на душу,
ВВП (ПКС) на душу населення,ВВП на одну людину у Польща,
ВВП (ПКС) на душу населення,Який ВВП на людину Польща,
ВВП (ПКС) на душу населення,Скільки доларів на людину у Польща,
ВВП (ПКС) на душу населення,Який ВВП пер капіта у Польща,
Індекс розвитку (HDI),Який HDI у Польща,
Індекс розвитку (HDI),Який індекс людського розвитку Польща,
Індекс розвитку (HDI),Який індекс розвитку ООН Польща,
Індекс розвитку (HDI),Скільки становить у Польща індекс розвитку,
Індекс розвитку (HDI),Наскільки розвинута Польща,
Місце за індексом розвитку (HDI),На якому місці Польща за індексом розвитку,
Місце за індексом розвитку (HDI),Яке місце займає Польща за індексом розвитку у світі,
Місце за індексом розвитку (HDI),Яка позиція Польща за розвитком,
Ключові події і дати в історії,Яка подія заснувала Польща,
Ключові події і дати в історії,Яка визначальна подія Польща,
Ключові дати в історії,Який день незалежності Польща,
Ключові дати в історії,Яка дата незалежності Польща,
Ключові дати в історії,Яка дата отримання незалежності Польща,
Ключові дати в історії,Коли відбулось проголошення незалежності Польща,
Ключові події і дати в історії,Коли основне державне свято Польща,
Ключові події і дати в історії,Який день основної події Польща,
Ключові дати в історії,Яка дата головної події Польща,
Валюта,Яка валюта Польща,
Валюта,Які гроші Польща,
Валюта,Який тип грошей у Польща,
Валюта,Як називається валюта Польща,
Валюта,Якими грошима користуються у Польща,
Валюта,Як називаються гроші Польща,
Валюта,Як називається грошова одиниця Польща,
Валюта,Яка грошова одиниця у Польща,
Код валюти,Який коди валюти Польща,
Код валюти,Який ISO код валюти Польща,
Часовий пояс,Який часовий пояс Польща,
Часовий пояс,Яка часова зона Польща,
UTC-поправка,Який час Польща за Грінвічем,
UTC-поправка,Як відрізняється час Польща від Грінвіча,
UTC-поправка,Яка UTC-поправка для часу Польща,
Інтернет-домен,Який інтернет-домен Польща,
Інтернет-домен,Як позначені сайти Польща в інтернеті,
Інтернет-домен,Домен Польща,
Інтернет-домен,Який домен у Польща,
Телефонний код,Який телефонний код Польща,
Телефонний код,Який код Польща для телефонів,
Телефонний код,Як дзвонити у Польща,
Телефонний код,Що набирати для дзвінка у Польща,
Телефонний код,Номери Польща починаються з яких цифр,
Телефонний код,Цифри телефонного коду Польща,
Назва в родовому відмінку,Яка загальноприйнята назва Ботсвана,
Назва в родовому відмінку,Яка поширена назва Ботсвана,
Назва в родовому відмінку,Яка загальнопоширена назва Ботсвана,
Офіційна назва,Яка довга назва Ботсвана,
Офіційна назва,Яка повна назва Ботсвана,
Назва державною мовою,Як Ботсвана називається офіційною мовою,
Назва державною мовою,Яка нативна назва Ботсвана,
Національний гімн,Який національний гімн Ботсвана,
Національний гімн,Який гімн Ботсвана,
Національний гімн,Гімн Ботсвана,
Національний гімн,Як називається гімн Ботсвана,
Офіційна назва,Повна назва Ботсвана,
Офіційні мови,Офіційні мови у Ботсвана,
Офіційні мови,Які офіційні мови Ботсвана,
Офіційні мови,Яка державна мова Ботсвана,
Офіційні мови,Яка основна мова у Ботсвана,
Офіційні мови,Які мови основні у Ботсвана,
Офіційні мови,Які мови у Ботсвана державні,
Офіційні мови,Яка мова у Ботсвана офіційна,
Столиця,Яка столиця Ботсвана,
Столиця,Яка у Ботсвана столиця,
Столиця,Яке місто у Ботсвана столичне,
Столиця,Столиця Ботсвана,
Координати,Де знаходиться Ботсвана,
Координати,Які координати Ботсвана,
Координати,Де Ботсвана,
Найбільше місто,Яке найбільше місто Ботсвана,
Найбільше місто,Яке у Ботсвана найбільше місто,
Найбільше місто,Яке головне місто Ботсвана,
Найбільше місто,Яке основне місто країни Ботсвана,
Форма правління,Який тип уряду Ботсвана,
Форма правління,Яка форма уряду Ботсвана,
Форма правління,Яка у Ботсвана форма уряду,
Форма правління,Який тип республіки у Ботсвана,
Форма правління,Яка форма правління у Ботсвана,
Форма правління,Який тип правління Ботсвана,
Посади лідерів,Як називаються лідера Ботсвана,
Посади лідерів,Як називається голова держави у Ботсвана,
Посади лідерів,Який тип лідера у Ботсвана,
Посади лідерів,Яка головна людина у Ботсвана,
Посади лідерів,Який головний лідер у Ботсвана,
Посади лідерів,Який голова держави у Ботсвана,
Імена лідерів,Хто голова держави у Ботсвана,
Імена лідерів,Хто президент Ботсвана,
Імена лідерів,Хто головний у Ботсвана,
Імена лідерів,Хто лідер Ботсвана,
Імена лідерів,Хто лідер держави у Ботсвана,
Імена лідерів,Як звати лідера Ботсвана,
Імена лідерів,Яке ім'я президента Ботсвана,
Імена лідерів,Яке ім'я голови держави у Ботсвана,
Імена лідерів,Які імена лідерів країни Ботсвана,
Місце за площею,Яка за порядком Ботсвана за площею,
Місце за площею,На якому місці Ботсвана за площею у світі,
Місце за площею,Яка у світі Ботсвана за площею,
Площа,Яка площа Ботсвана,
Площа,Площа Ботсвана,
Площа,Який розмір Ботсвана,
Площа,Скільки квадратних кілометрів у Ботсвана,
Площа,Яка площа території Ботсвана,
Площа,Який розмір території Ботсвана,
"Відсоток, покритий водою",Який відсоток води на території Ботсвана,
"Відсоток, покритий водою",Який відсоток площі Ботсвана становить вода,
"Відсоток, покритий водою",Скільки води у Ботсвана,
"Відсоток, покритий водою",Яка площа води у Ботсвана,
Населення,Яке населення Ботсвана,
Населення,Яке оціночне населення Ботсвана,
Населення,Населення Ботсвана,
Населення,Скільки людей живе у Ботсвана,
Населення,Скільки мешканців у Ботсвана,
Населення,Скільки жителів Ботсвана,
Населення,Скільки живе у Ботсвана,
Населення,Скільки людей мешкає у Ботсвана,
Місце за населенням,Яка Ботсвана за населенням у світі,
Місце за населенням,Яка за порядком Ботсвана за населенням,
Місце за населенням,На якому місці Ботсвана за населенням,
Густота населення,Яка густота населення Ботсвана,
Густота населення,Яка густина населення Ботсвана,
Густота населення,Наскільки густонаселена Ботсвана,
Густота населення,Скільки людей на квадратний кілометр у Ботсвана,
Густота населення,Густота населення Ботсвана,
Місце за густотою населення,Яка Ботсвана за густотою населення у світі,
Місце за густотою населення,На якому місці Ботсвана за густотою населення,
Місце за густотою населення,Яка за порядком Ботсвана за густотою населення,
ВВП (ПКС),Який ВВП Ботсвана,
ВВП (ПКС),Який внутрішній валовий продукт Ботсвана,
ВВП (ПКС),Який у Ботсвана ВВП,
ВВП (ПКС),Який розмір економіки Ботсвана,
ВВП (ПКС),Яка економіка у Ботсвана,
ВВП (ПКС),Скільки доларів становить ВВП Ботсвана,
ВВП (ПКС),Скільки доларів економіка Ботсвана,
ВВП (ПКС),Який повний ВВП Ботсвана,
Місце за ВВП (ПКС),Яка Ботсвана за розміром ВВП,
Місце за ВВП (ПКС),Яка за порядком у світі Ботсвана по ВВП,
Місце за ВВП (ПКС),На якому місці Ботсвана за ВВП,
ВВП (ПКС) на душу населення,Який ВВП на душу населення у Ботсвана,
ВВП (ПКС) на душу населення,Який ВВП Ботсвана на душу,
ВВП (ПКС) на душу населення,ВВП на одну людину у Ботсвана,
ВВП (ПКС) на душу населення,Який ВВП на людину Ботсвана,
ВВП (ПКС) на душу населення,Скільки доларів на людину у Ботсвана,
ВВП (ПКС) на душу населення,Який ВВП пер капіта у Ботсвана,
Індекс розвитку (HDI),Який HDI у Ботсвана,
Індекс розвитку (HDI),Який індекс людського розвитку Ботсвана,
Індекс розвитку (HDI),Який індекс розвитку ООН Ботсвана,
Індекс розвитку (HDI),Скільки становить у Ботсвана індекс розвитку,
Індекс розвитку (HDI),Наскільки розвинута Ботсвана,
Місце за індексом розвитку (HDI),На якому місці Ботсвана за індексом розвитку,
Місце за індексом розвитку (HDI),Яке місце займає Ботсвана за індексом розвитку у світі,
Місце за індексом розвитку (HDI),Яка позиція Ботсвана за розвитком,
Ключові події і дати в історії,Яка подія заснувала Ботсвана,
Ключові події і дати в історії,Яка визначальна подія Ботсвана,
Ключові дати в історії,Який день незалежності Ботсвана,
Ключові дати в історії,Яка дата незалежності Ботсвана,
Ключові дати в історії,Яка дата отримання незалежності Ботсвана,
Ключові дати в історії,Коли відбулось проголошення незалежності Ботсвана,
Ключові події і дати в історії,Коли основне державне свято Ботсвана,
Ключові події і дати в історії,Який день основної події Ботсвана,
Ключові події і дати в історії,Яка дата головної події Ботсвана,
Валюта,Яка валюта Ботсвана,
Валюта,Які гроші Ботсвана,
Валюта,Який тип грошей у Ботсвана,
Валюта,Як називається валюта Ботсвана,
Валюта,Якими грошима користуються у Ботсвана,
Валюта,Як називаються гроші Ботсвана,
Валюта,Як називається грошова одиниця Ботсвана,
Валюта,Яка грошова одиниця у Ботсвана,
Код валюти,Який коди валюти Ботсвана,
Код валюти,Який ISO код валюти Ботсвана,
Часовий пояс,Який часовий пояс Ботсвана,
Часовий пояс,Яка часова зона Ботсвана,
UTC-поправка,Який час Ботсвана за Грінвічем,
UTC-поправка,Як відрізняється час Ботсвана від Грінвіча,
UTC-поправка,Яка UTC-поправка для часу Ботсвана,
Інтернет-домен,Який інтернет-домен Ботсвана,
Інтернет-домен,Як позначені сайти Ботсвана в інтернеті,
Інтернет-домен,Домен Ботсвана,
Інтернет-домен,Який домен у Ботсвана,
Телефонний код,Який телефонний код Ботсвана,
Телефонний код,Який код Ботсвана для телефонів,
Телефонний код,Як дзвонити у Ботсвана,
Телефонний код,Що набирати для дзвінка у Ботсвана,
Телефонний код,Номери Ботсвана починаються з яких цифр,
Телефонний код,Цифри телефонного коду Ботсвана,
Назва в родовому відмінку,Яка загальноприйнята назва Екваторіальна Гвінея,
Назва в родовому відмінку,Яка поширена назва Екваторіальна Гвінея,
Назва в родовому відмінку,Яка загальнопоширена назва Екваторіальна Гвінея,
Офіційна назва,Яка довга назва Екваторіальна Гвінея,
Офіційна назва,Яка повна назва Екваторіальна Гвінея,
Національний гімн,Який національний гімн Екваторіальна Гвінея,
Національний гімн,Який гімн Екваторіальна Гвінея,
Національний гімн,Гімн Екваторіальна Гвінея,
Національний гімн,Як називається гімн Екваторіальна Гвінея,
Офіційна назва,Повна назва Екваторіальна Гвінея,
Столиця,Яка столиця Екваторіальна Гвінея,
Столиця,Яка у Екваторіальна Гвінея столиця,
Столиця,Яке місто у Екваторіальна Гвінея столичне,
Столиця,Столиця Екваторіальна Гвінея,
Найбільше місто,Яке найбільше місто Екваторіальна Гвінея,
Найбільше місто,Яке у Екваторіальна Гвінея найбільше місто,
Найбільше місто,Яке головне місто Екваторіальна Гвінея,
Найбільше місто,Яке основне місто країни Екваторіальна Гвінея,
Форма правління,Який тип уряду Екваторіальна Гвінея,
Форма правління,Яка форма уряду Екваторіальна Гвінея,
Форма правління,Яка у Екваторіальна Гвінея форма уряду,
Форма правління,Який тип республіки у Екваторіальна Гвінея,
Форма правління,Яка форма правління у Екваторіальна Гвінея,
Форма правління,Який тип правління Екваторіальна Гвінея,
Посади лідерів,Як називаються лідера Екваторіальна Гвінея,
Посади лідерів,Як називається голова держави у Екваторіальна Гвінея,
Посади лідерів,Який тип лідера у Екваторіальна Гвінея,
Посади лідерів,Яка головна людина у Екваторіальна Гвінея,
Посади лідерів,Який головний лідер у Екваторіальна Гвінея,
Посади лідерів,Який голова держави у Екваторіальна Гвінея,
Імена лідерів,Хто голова держави у Екваторіальна Гвінея,
Імена лідерів,Хто президент Екваторіальна Гвінея,
Імена лідерів,Хто головний у Екваторіальна Гвінея,
Імена лідерів,Хто лідер Екваторіальна Гвінея,
Імена лідерів,Хто лідер держави у Екваторіальна Гвінея,
Імена лідерів,Як звати лідера Екваторіальна Гвінея,
Імена лідерів,Яке ім'я президента Екваторіальна Гвінея,
Імена лідерів,Яке ім'я голови держави у Екваторіальна Гвінея,
Імена лідерів,Які імена лідерів країни Екваторіальна Гвінея,
Місце за площею,Яка за порядком Екваторіальна Гвінея за площею,
Місце за площею,На якому місці Екваторіальна Гвінея за площею у світі,
Місце за площею,Яка у світі Екваторіальна Гвінея за площею,
Площа,Яка площа Екваторіальна Гвінея,
Площа,Площа Екваторіальна Гвінея,
Площа,Який розмір Екваторіальна Гвінея,
Площа,Скільки квадратних кілометрів у Екваторіальна Гвінея,
Площа,Яка площа території Екваторіальна Гвінея,
Площа,Який розмір території Екваторіальна Гвінея,
Населення,Яке населення Екваторіальна Гвінея,
Населення,Яке оціночне населення Екваторіальна Гвінея,
Населення,Населення Екваторіальна Гвінея,
Населення,Скільки людей живе у Екваторіальна Гвінея,
Населення,Скільки мешканців у Екваторіальна Гвінея,
Населення,Скільки жителів Екваторіальна Гвінея,
Населення,Скільки живе у Екваторіальна Гвінея,
Населення,Скільки людей мешкає у Екваторіальна Гвінея,
Рік останнього перепису населення,Коли відбувся перепис у Екваторіальна Гвінея,
Рік останнього перепису населення,Яка дата останнього перепису у Екваторіальна Гвінея,
Густота населення,Яка густота населення Екваторіальна Гвінея,
Густота населення,Яка густина населення Екваторіальна Гвінея,
Густота населення,Наскільки густонаселена Екваторіальна Гвінея,
Густота населення,Скільки людей на квадратний кілометр у Екваторіальна Гвінея,
Густота населення,Густота населення Екваторіальна Гвінея,
Місце за густотою населення,Яка Екваторіальна Гвінея за густотою населення у світі,
Місце за густотою населення,На якому місці Екваторіальна Гвінея за густотою населення,
Місце за густотою населення,Яка за порядком Екваторіальна Гвінея за густотою населення,
ВВП (ПКС),Який ВВП Екваторіальна Гвінея,
ВВП (ПКС),Який внутрішній валовий продукт Екваторіальна Гвінея,
ВВП (ПКС),Який у Екваторіальна Гвінея ВВП,
ВВП (ПКС),Який розмір економіки Екваторіальна Гвінея,
ВВП (ПКС),Яка економіка у Екваторіальна Гвінея,
ВВП (ПКС),Скільки доларів становить ВВП Екваторіальна Гвінея,
ВВП (ПКС),Скільки доларів економіка Екваторіальна Гвінея,
ВВП (ПКС),Який повний ВВП Екваторіальна Гвінея,
Місце за ВВП (ПКС),Яка Екваторіальна Гвінея за розміром ВВП,
Місце за ВВП (ПКС),Яка за порядком у світі Екваторіальна Гвінея по ВВП,
Місце за ВВП (ПКС),На якому місці Екваторіальна Гвінея за ВВП,
ВВП (ПКС) на душу населення,Який ВВП на душу населення у Екваторіальна Гвінея,
ВВП (ПКС) на душу населення,Який ВВП Екваторіальна Гвінея на душу,
ВВП (ПКС) на душу населення,ВВП на одну людину у Екваторіальна Гвінея,
ВВП (ПКС) на душу населення,Який ВВП на людину Екваторіальна Гвінея,
ВВП (ПКС) на душу населення,Скільки доларів на людину у Екваторіальна Гвінея,
ВВП (ПКС) на душу населення,Який ВВП пер капіта у Екваторіальна Гвінея,
Ключові події і дати в історії,Яка подія заснувала Екваторіальна Гвінея,
Ключові події і дати в історії,Яка визначальна подія Екваторіальна Гвінея,
Ключові дати в історії,Який день незалежності Екваторіальна Гвінея,
Ключові дати в історії,Яка дата незалежності Екваторіальна Гвінея,
Ключові дати в історії,Яка дата отримання незалежності Екваторіальна Гвінея,
Ключові дати в історії,Коли відбулось проголошення незалежності Екваторіальна Гвінея,
Ключові дати в історії,Коли основне державне свято Екваторіальна Гвінея,
Ключові дати в історії,Який день основної події Екваторіальна Гвінея,
Ключові дати в історії,Яка дата головної події Екваторіальна Гвінея,
Валюта,Яка валюта Екваторіальна Гвінея,
Валюта,Які гроші Екваторіальна Гвінея,
Валюта,Який тип грошей у Екваторіальна Гвінея,
Валюта,Як називається валюта Екваторіальна Гвінея,
Валюта,Якими грошима користуються у Екваторіальна Гвінея,
Валюта,Як називаються гроші Екваторіальна Гвінея,
Валюта,Як називається грошова одиниця Екваторіальна Гвінея,
Валюта,Яка грошова одиниця у Екваторіальна Гвінея,
Код валюти,Який коди валюти Екваторіальна Гвінея,
Код валюти,Який ISO код валюти Екваторіальна Гвінея,
UTC-поправка,Який час Екваторіальна Гвінея за Грінвічем,
UTC-поправка,Як відрізняється час Екваторіальна Гвінея від Грінвіча,
UTC-поправка,Яка UTC-поправка для часу Екваторіальна Гвінея,
Інтернет-домен,Який інтернет-домен Екваторіальна Гвінея,
