K,Q,Unnamed: 2
Інтернет-домен,Як позначені сайти Екваторіальна Гвінея в інтернеті,
Інтернет-домен,Домен Екваторіальна Гвінея,
Інтернет-домен,Який домен у Екваторіальна Гвінея,
Телефонний код,Який телефонний код Екваторіальна Гвінея,
Телефонний код,Який код Екваторіальна Гвінея для телефонів,
Телефонний код,Як дзвонити у Екваторіальна Гвінея,
Телефонний код,Що набирати для дзвінка у Екваторіальна Гвінея,
Телефонний код,Номери Екваторіальна Гвінея починаються з яких цифр,
Телефонний код,Цифри телефонного коду Екваторіальна Гвінея,
Назва в родовому відмінку,Яка загальноприйнята назва Австралія,
Назва в родовому відмінку,Яка поширена назва Австралія,
Назва в родовому відмінку,Яка загальнопоширена назва Австралія,
Офіційна назва,Яка довга назва Австралія,
Офіційна назва,Яка повна назва Австралія,
Національний гімн,Який національний гімн Австралія,
Національний гімн,Який гімн Австралія,
Національний гімн,Гімн Австралія,
Національний гімн,Як називається гімн Австралія,
Офіційна назва,Повна назва Австралія,
Офіційні мови,Офіційні мови у Австралія,
Офіційні мови,Які офіційні мови Австралія,
Офіційні мови,Яка державна мова Австралія,
Офіційні мови,Яка основна мова у Австралія,
Офіційні мови,Які мови основні у Австралія,
Офіційні мови,Які мови у Австралія державні,
Офіційні мови,Яка мова у Австралія офіційна,
Столиця,Яка столиця Австралія,
Столиця,Яка у Австралія столиця,
Столиця,Яке місто у Австралія столичне,
Столиця,Столиця Австралія,
Найбільше місто,Яке найбільше місто Австралія,
Найбільше місто,Яке у Австралія найбільше місто,
Найбільше місто,Яке головне місто Австралія,
Найбільше місто,Яке основне місто країни Австралія,
Форма правління,Який тип уряду Австралія,
Форма правління,Яка форма уряду Австралія,
Форма правління,Яка у Австралія форма уряду,
Форма правління,Який тип республіки у Австралія,
Форма правління,Яка форма правління у Австралія,
Форма правління,Який тип правління Австралія,
Посади лідерів,Як називаються лідера Австралія,
Посади лідерів,Як називається голова держави у Австралія,
Посади лідерів,Який тип лідера у Австралія,
Посади лідерів,Яка головна людина у Австралія,
Посади лідерів,Який головний лідер у Австралія,
Посади лідерів,Який голова держави у Австралія,
Посади лідерів,Як називаються лідера Австралія,
Посади лідерів,Як називається голова держави у Австралія,
Посади лідерів,Який тип лідера у Австралія,
Посади лідерів,Яка головна людина у Австралія,
Посади лідерів,Який головний лідер у Австралія,
Посади лідерів,Який голова держави у Австралія,
Імена лідерів,Хто голова держави у Австралія,
Імена лідерів,Хто президент Австралія,
Імена лідерів,Хто головний у Австралія,
Імена лідерів,Хто лідер Австралія,
Імена лідерів,Хто лідер держави у Австралія,
Імена лідерів,Як звати лідера Австралія,
Імена лідерів,Яке ім'я президента Австралія,
Імена лідерів,Яке ім'я голови держави у Австралія,
Імена лідерів,Які імена лідерів країни Австралія,
Місце за площею,Яка за порядком Австралія за площею,
Місце за площею,На якому місці Австралія за площею у світі,
Місце за площею,Яка у світі Австралія за площею,
Площа,Яка площа Австралія,
Площа,Площа Австралія,
Площа,Який розмір Австралія,
Площа,Скільки квадратних кілометрів у Австралія,
Площа,Яка площа території Австралія,
Площа,Який розмір території Австралія,
"Відсоток, покритий водою",Який відсоток води на території Австралія,
"Відсоток, покритий водою",Який відсоток площі Австралія становить вода,
"Відсоток, покритий водою",Скільки води у Австралія,
"Відсоток, покритий водою",Яка площа води у Австралія,
Населення,Яке населення Австралія,
Населення,Яке оціночне населення Австралія,
Населення,Населення Австралія,
Населення,Скільки людей живе у Австралія,
Населення,Скільки мешканців у Австралія,
Населення,Скільки жителів Австралія,
Населення,Скільки живе у Австралія,
Населення,Скільки людей мешкає у Австралія,
Рік останнього перепису населення,Коли відбувся перепис у Австралія,
Рік останнього перепису населення,Яка дата останнього перепису у Австралія,
Густота населення,Яка густота населення Австралія,
Густота населення,Яка густина населення Австралія,
Густота населення,Наскільки густонаселена Австралія,
Густота населення,Скільки людей на квадратний кілометр у Австралія,
Густота населення,Густота населення Австралія,
Місце за густотою населення,Яка Австралія за густотою населення у світі,
Місце за густотою населення,На якому місці Австралія за густотою населення,
Місце за густотою населення,Яка за порядком Австралія за густотою населення,
Місце за ВВП (ПКС),Яка Австралія за розміром ВВП,
Місце за ВВП (ПКС),Яка за порядком у світі Австралія по ВВП,
Місце за ВВП (ПКС),На якому місці Австралія за ВВП,
Індекс розвитку (HDI),Який HDI у Австралія,
Індекс розвитку (HDI),Який індекс людського розвитку Австралія,
Індекс розвитку (HDI),Який індекс розвитку ООН Австралія,
Індекс розвитку (HDI),Скільки становить у Австралія індекс розвитку,
Індекс розвитку (HDI),Наскільки розвинута Австралія,
Місце за індексом розвитку (HDI),На якому місці Австралія за індексом розвитку,
Місце за індексом розвитку (HDI),Яке місце займає Австралія за індексом розвитку у світі,
Місце за індексом розвитку (HDI),Яка позиція Австралія за розвитком,
Ключові події і дати в історії,Яка подія заснувала Австралія,
Ключові події і дати в історії,Яка визначальна подія Австралія,
Ключові дати в історії,Який день незалежності Австралія,
Ключові дати в історії,Яка дата незалежності Австралія,
Ключові дати в історії,Яка дата отримання незалежності Австралія,
Ключові дати в історії,Коли відбулось проголошення незалежності Австралія,
Ключові дати в історії,Коли основне державне свято Австралія,
Ключові дати в історії,Який день основної події Австралія,
Ключові дати в історії,Яка дата головної події Австралія,
Валюта,Яка валюта Австралія,
Валюта,Які гроші Австралія,
Валюта,Який тип грошей у Австралія,
Валюта,Як називається валюта Австралія,
Валюта,Якими грошима користуються у Австралія,
Валюта,Як називаються гроші Австралія,
Валюта,Як називається грошова одиниця Австралія,
Валюта,Яка грошова одиниця у Австралія,
Код валюти,Який коди валюти Австралія,
Код валюти,Який ISO код валюти Австралія,
Часовий пояс,Який часовий пояс Австралія,
Часовий пояс,Яка часова зона Австралія,
UTC-поправка,Який час Австралія за Грінвічем,
UTC-поправка,Як відрізняється час Австралія від Грінвіча,
UTC-поправка,Яка UTC-поправка для часу Австралія,
Інтернет-домен,Який інтернет-домен Австралія,
Інтернет-домен,Як позначені сайти Австралія в інтернеті,
Інтернет-домен,Домен Австралія,
Інтернет-домен,Який домен у Австралія,
Телефонний код,Який телефонний код Австралія,
Телефонний код,Який код Австралія для телефонів,
Телефонний код,Як дзвонити у Австралія,
Телефонний код,Що набирати для дзвінка у Австралія,
Телефонний код,Номери Австралія починаються з яких цифр,
Телефонний код,Цифри телефонного коду Австралія,
Назва в родовому відмінку,Яка загальноприйнята назва Алжир,
Назва в родовому відмінку,Яка поширена назва Алжир,
Назва державною мовою,Як Алжир називається офіційною мовою,
Назва державною мовою,Яка нативна назва Алжир,
Столиця,Яка столиця Алжир,
Столиця,Яка у Алжир столиця,
Столиця,Яке місто у Алжир столичне,
Столиця,Столиця Алжир,
Координати,Де знаходиться Алжир,
Координати,Які координати Алжир,
Координати,Де Алжир,
Найбільше місто,Яке найбільше місто Алжир,
Найбільше місто,Яке у Алжир найбільше місто,
Найбільше місто,Яке головне місто Алжир,
Найбільше місто,Яке основне місто країни Алжир,
Форма правління,Який тип уряду Алжир,
Форма правління,Яка форма уряду Алжир,
Форма правління,Яка у Алжир форма уряду,
Форма правління,Який тип республіки у Алжир,
Форма правління,Яка форма правління у Алжир,
Форма правління,Який тип правління Алжир,
Посади лідерів,Як називаються лідера Алжир,
Посади лідерів,Як називається голова держави у Алжир,
Посади лідерів,Який тип лідера у Алжир,
Посади лідерів,Яка головна людина у Алжир,
Посади лідерів,Який головний лідер у Алжир,
Посади лідерів,Який голова держави у Алжир,
Імена лідерів,Хто голова держави у Алжир,
Імена лідерів,Хто президент Алжир,
Імена лідерів,Хто головний у Алжир,
Імена лідерів,Хто лідер Алжир,
Імена лідерів,Хто лідер держави у Алжир,
Імена лідерів,Як звати лідера Алжир,
Імена лідерів,Яке ім'я президента Алжир,
Імена лідерів,Яке ім'я голови держави у Алжир,
Імена лідерів,Які імена лідерів країни Алжир,
Місце за площею,Яка за порядком Алжир за площею,
Місце за площею,На якому місці Алжир за площею у світі,
Місце за площею,Яка у світі Алжир за площею,
Площа,Яка площа Алжир,
Площа,Площа Алжир,
Площа,Який розмір Алжир,
Площа,Скільки квадратних кілометрів у Алжир,
Площа,Яка площа території Алжир,
Площа,Який розмір території Алжир,
"Відсоток, покритий водою",Який відсоток води на території Алжир,
"Відсоток, покритий водою",Який відсоток площі Алжир становить вода,
"Відсоток, покритий водою",Скільки води у Алжир,
"Відсоток, покритий водою",Яка площа води у Алжир,
Населення,Яке населення Алжир,
Населення,Яке оціночне населення Алжир,
Населення,Населення Алжир,
Населення,Скільки людей живе у Алжир,
Населення,Скільки мешканців у Алжир,
Населення,Скільки жителів Алжир,
Населення,Скільки живе у Алжир,
Населення,Скільки людей мешкає у Алжир,
Місце за населенням,Яка Алжир за населенням у світі,
Місце за населенням,Яка за порядком Алжир за населенням,
Місце за населенням,На якому місці Алжир за населенням,
Рік останнього перепису населення,Коли відбувся перепис у Алжир,
Рік останнього перепису населення,Яка дата останнього перепису у Алжир,
Густота населення,Яка густота населення Алжир,
Густота населення,Яка густина населення Алжир,
Густота населення,Наскільки густонаселена Алжир,
Густота населення,Скільки людей на квадратний кілометр у Алжир,
Густота населення,Густота населення Алжир,
Місце за густотою населення,Яка Алжир за густотою населення у світі,
Місце за густотою населення,На якому місці Алжир за густотою населення,
Місце за густотою населення,Яка за порядком Алжир за густотою населення,
ВВП (ПКС),Який ВВП Алжир,
ВВП (ПКС),Який внутрішній валовий продукт Алжир,
ВВП (ПКС),Який у Алжир ВВП,
ВВП (ПКС),Який розмір економіки Алжир,
ВВП (ПКС),Яка економіка у Алжир,
ВВП (ПКС),Скільки доларів становить ВВП Алжир,
ВВП (ПКС),Скільки доларів економіка Алжир,
ВВП (ПКС),Який повний ВВП Алжир,
Місце за ВВП (ПКС),Яка Алжир за розміром ВВП,
Місце за ВВП (ПКС),Яка за порядком у світі Алжир по ВВП,
Місце за ВВП (ПКС),На якому місці Алжир за ВВП,
ВВП (ПКС) на душу населення,Який ВВП на душу населення у Алжир,
ВВП (ПКС) на душу населення,Який ВВП Алжир на душу,
ВВП (ПКС) на душу населення,ВВП на одну людину у Алжир,
ВВП (ПКС) на душу населення,Який ВВП на людину Алжир,
ВВП (ПКС) на душу населення,Скільки доларів на людину у Алжир,
ВВП (ПКС) на душу населення,Який ВВП пер капіта у Алжир,
Індекс розвитку (HDI),Який HDI у Алжир,
Індекс розвитку (HDI),Який індекс людського розвитку Алжир,
Індекс розвитку (HDI),Який індекс розвитку ООН Алжир,
Індекс розвитку (HDI),Скільки становить у Алжир індекс розвитку,
Індекс розвитку (HDI),Наскільки розвинута Алжир,
Місце за індексом розвитку (HDI),На якому місці Алжир за індексом розвитку,
Місце за індексом розвитку (HDI),Яке місце займає Алжир за індексом розвитку у світі,
Місце за індексом розвитку (HDI),Яка позиція Алжир за розвитком,
Ключові події і дати в історії,Яка подія заснувала Алжир,
Ключові події і дати в історії,Яка визначальна подія Алжир,
Ключові дати в історії,Який день незалежності Алжир,
Ключові дати в історії,Яка дата незалежності Алжир,
Ключові дати в історії,Яка дата отримання незалежності Алжир,
Ключові дати в історії,Коли відбулось проголошення незалежності Алжир,
Ключові дати в історії,Коли основне державне свято Алжир,
Ключові дати в історії,Який день основної події Алжир,
Ключові дати в історії,Яка дата головної події Алжир,
Валюта,Яка валюта Алжир,
Валюта,Які гроші Алжир,
Валюта,Який тип грошей у Алжир,
Валюта,Як називається валюта Алжир,
Валюта,Якими грошима користуються у Алжир,
Валюта,Як називаються гроші Алжир,
Валюта,Як називається грошова одиниця Алжир,
Валюта,Яка грошова одиниця у Алжир,
Код валюти,Який коди валюти Алжир,
Код валюти,Який ISO код валюти Алжир,
Часовий пояс,Який часовий пояс Алжир,
Часовий пояс,Яка часова зона Алжир,
UTC-поправка,Який час Алжир за Грінвічем,
UTC-поправка,Як відрізняється час Алжир від Грінвіча,
UTC-поправка,Яка UTC-поправка для часу Алжир,
Інтернет-домен,Який інтернет-домен Алжир,
Інтернет-домен,Як позначені сайти Алжир в інтернеті,
Інтернет-домен,Домен Алжир,
Інтернет-домен,Який домен у Алжир,
Телефонний код,Який телефонний код Алжир,
Телефонний код,Який код Алжир для телефонів,
Телефонний код,Як дзвонити у Алжир,
Телефонний код,Що набирати для дзвінка у Алжир,
Телефонний код,Номери Алжир починаються з яких цифр,
Телефонний код,Цифри телефонного коду Алжир,
Площа,Яка площа Варшава,
Площа,Яких розмірів місто Малабо,
Площа,Яка площа міської території Малабо,
Густота населення,Яка густота населення Ріо-де-Жанейро,
Густота населення,Яка щільність населення Рига,
Густота населення,Наскільки густонаселене Рига,
Густота населення,Яка густина населення Варшава,
Населення,Яке повне населення Варшава,
Населення,Яка звичайна назва Мумбай,
Населення,Яка поширена назва Рига,
Населення,Як зазвичай називають Малабо,
Населення,Скільки людей живе у Малабо,
Населення,Як багато людей у Малабо,
Населення,Скільки людей у Варшава,
Населення,Скільки мешканців у Мумбай,
Населення,Скільки мешкає у Рига,
Назва державною мовою,Як називають Варшава місцевою мовою,
Назва державною мовою,Яка назва Ріо-де-Жанейро офіційною мовою,
Назва державною мовою,Як називають Варшава офіційною мовою,
Назва державною мовою,Як зазвичай називають Ріо-де-Жанейро його мешканці,
ВВП (ПКС),Яких розмірів економіка Мумбай,
ВВП (ПКС),Наскільки велика економіка Ріо-де-Жанейро,
ВВП (ПКС),Який ВВП Рига,
Телефонний код,Який телефонний код міста Малабо,
Країна,В якій країні знаходиться Малабо,
Країна,До якої країни належить Варшава,
Країна,У якій країні Малабо,
Країна,Яка країна міста Мумбай,
Країна,Рига знаходиться в якій країні,
Країна,Яка країна у якій місто Ріо-де-Жанейро,
Країна,У якій країні є місто Мумбай,
Країна,Якій країні зараз належить Малабо,
Регіон,У якому регіоні Мумбай,
Регіон,До якого регіону належить Ріо-де-Жанейро,
Регіон,У якому регіоні знаходиться Малабо,
Регіон,Який регіон міста Мумбай,
Засноване,Коли засноване Малабо,
Засноване,Коли заснували місто Мумбай,
Засноване,Коли перша згадка про місто Мумбай,
Засноване,Коли вперше згадали Рига,
Засноване,Яка дата заснування Ріо-де-Жанейро,
Засноване,Коли заснували Варшава,
Засноване,У якому році заснували Малабо,
Засноване,У яких роках згадали вперше про Рига,
Міста-побратими,Які міста-побратими Варшава,
Міста-побратими,Які сестринські міста Рига,
Міста-побратими,Які офіційні побратими міста Малабо,
Міста-побратими,Які в міста Ріо-де-Жанейро міста-побратими,
Висота над рівнем моря,На якій висоті знаходиться Рига,
Висота над рівнем моря,Яка висота Мумбай над рівнем моря,
Висота над рівнем моря,Наскільки високо знаходиться Варшава,
Висота над рівнем моря,Наскільки високе Рига,
Висота над рівнем моря,Яка у Ріо-де-Жанейро висота над рівнем моря,
Веб-сторінка,Який офіційний вебсайт Ріо-де-Жанейро,
Веб-сторінка,Яка веб-сторінка у Варшава,
Веб-сторінка,Де знаходиться веб-сторінка Мумбай,
Веб-сторінка,Який інтернет-сайт Рига,
Веб-сторінка,На якому сайті офіційна сторінка Варшава,
Мер,Хто мер Ріо-де-Жанейро,
Мер,Який мер у Малабо,
Мер,Хто є головою міста Мумбай,
Мер,Хто градоначальник Рига,
Мер,Хто міський голова Ріо-де-Жанейро,
Мер,"Чи є у Ріо-де-Жанейро мер і якщо так, хто це",
Девіз,Який девіз Варшава,
Девіз,Яке мотто Варшава,
Девіз,Чи є девіз у Рига,
Девіз,Який офіційний девіз Варшава,
Поділ міста,Який у Ріо-де-Жанейро поділ на райони,
Поділ міста,Який адміністративний поділ Ріо-де-Жанейро,
Поділ міста,Який у Ріо-де-Жанейро поділ на адміністративні райони,
Поділ міста,Як Рига поділяється на райони,
Поділ міста,Який поділ міста Варшава,
Найбільша глибина,Яка найбільша глибина Балтійське море,
Найбільша глибина,Яка максимальна глибина Чорне море,
Найбільша глибина,Яке найглибше місце у Чорне море,
Найбільша глибина,Яка у Чорне море найбільша глибина,
Найбільша глибина,Наскільки глибоке максимально Балтійське море,
Середня глибина,Яка середня глибина Балтійське море,
Середня глибина,Яка типова глибина Балтійське море,
Середня глибина,Наскільки в середньому глибоке Балтійське море,
Середня глибина,Наскільки глибоке зазвичай Чорне море,
Середня глибина,Яка глибина Чорне море у звичайних місцях,
Розташування,Де розташовується Чорне море,
Розташування,Яке розташування Чорне море,
Розташування,Яке місцезнаходження Чорне море,
Розташування,Де Чорне море,
Моря,Які моря належать до Чорне море,
Моря,Які моря стосуються  Чорне море,
Моря,Які моря входять до складу Чорне море,
Моря,Які моря в басейні Балтійське море,
Океан,Якого океану належить Чорне море,
Океан,Який океан основний для Чорне море,
Океан,В акваторії якого океану перебуває Чорне море,
Океан,Який океан для Балтійське море,
Об'єм,Який об’єм Чорне море,
Об'єм,Який у Балтійське море об’єм,
Об'єм,Яких обсягів Балтійське море,
Об'єм,Який повний об’єм Чорне море,
Солоність,Яка солоність Балтійське море,
Солоність,Наскільки Балтійське море солоне,
Солоність,Який рівень солоності у Чорне море,
Впадаючі річки,Які річки впадають в Балтійське море,
Довжина берегової лінії,Яка довжина берегової лінії у Чорне море,
Довжина берегової лінії,Наскільки довгий берег Чорне море,
Довжина берегової лінії,Яка довжина берегу Чорне море,
Довжина берегової лінії,Довжина берегу Чорне море,
Країни,Які країни омиває Балтійське море,
Країни,Яких країн торкається Чорне море,
Країни,Які країни на берегах Балтійське море,
Країни,До яких країн стосується Чорне море,
Площа водозабору,Яка площа водозабору Чорне море,
Площа водозабору,Який водозабір у Балтійське море за площею,
Прозорість,Яка прозорість Чорне море,
Прозорість,Наскільки прозоре Чорне море,
Прозорість,Який рівень прозорості у Чорне море,
Група островів,Якого архіпелагу належить Сардинія,
Група островів,Якої групи островів стосується Тасманія,
Група островів,До яких островів входить Ява,
Група островів,До якого архіпелагу входить Сардинія,
Група островів,Частиною якого архіпелагу є Сардинія,
Розташування гирла,Де знаходиться гирло Дніпро,
Розташування гирла,Яке розташування гирла Амазонка,
Розташування гирла,Де гирло Дніпро,
Розташування гирла,Звідки витікає Дніпро,
Гирло,Яке гирло Дніпро,
Гирло,Яке у Дніпро гирло,
Площа басейну,Яка площа басейну Амазонка,
Площа басейну,Яких розмірів басейн річки Янцзи,
Площа басейну,На яку площу поширюється басейн Дніпро,
Площа басейну,Який басейн Дніпро,
Площа басейну,Який басейн у Дніпро,
Країни басейну,Які країни входять до басейну Амазонка,
Країни басейну,Які країни басейну Янцзи,
Країни басейну,Які країни належать до басейну Амазонка,
Стік,Який стік Янцзи,
Стік,Який максимальний стік Амазонка,
Стік,Який середній стік Амазонка,
Стік,Який зазвичай стік у річки Дніпро,
Притоки,Які притоки у Янцзи,
Притоки,Які притоки є у річки Дніпро,
Притоки,Які річки впадають у Дніпро,
Притоки,Які ще річки вливаються у Янцзи,
Притоки,Які річки є притоками Дніпро,
Притоки,Притоки Амазонка,
Ширина,Яка ширина Тітікака,
Ширина,Наскільки широке Балатон,
Міста,Які міста лежать на Балатон,
Міста,Які міста торкаються Тітікака,
Впадаючі річки,Які річки впадають в озеро Балатон,
Впадаючі річки,Які річки потрапляють в озеро Тітікака,
Тип,Якого типу Тітікака,
Тип,Який тип озера Тітікака,
Тип,Який у Балатон тип,
Гірська система,До якої гірської системи належить Говерла,
Гірська система,Яка гірська система Кіліманджаро,
Гірська система,У яких горах знаходиться Аконкагуа,
Гірська система,Яким горам належить Говерла,
Відносна висота,Яка відносна висота Аконкагуа,
Відносна висота,Яка у Аконкагуа відносна висота,
Перше сходження,Коли відбулось перше сходження на Аконкагуа,
Перше сходження,Коли вперше вилізли на Кіліманджаро,
Перше сходження,Коли залізли на Риси,
Перше сходження,Коли здолали вершину Риси,
Вік,Який вік Говерла,
Вік,Якого віку гора Аконкагуа,
Вік,Якого віку гори Гімалаї,
Вік,Який у Аконкагуа вік,
Гороутворення,Яке гороутворення Аконкагуа,
